task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
40	75/897c8b	15893e17-a05f-4072-b0ed-1f8b8de84f32	metric_images (label_projection:f1_micro)	COMPLETED	0	2022-05-14 19:54:33.693	49.6s	24.4s	61.6%	247.3 MB	662.2 MB	72 MB	42.6 KB
41	0b/7ea362	7fc2baf6-7490-49e3-82d9-6020f27a3252	method_images (label_projection:knn_classifier_log_cpm)	COMPLETED	0	2022-05-14 19:54:33.770	49.6s	24.6s	61.7%	247 MB	662.2 MB	72.1 MB	42.7 KB
11	94/61ea16	13f614e2-47f6-4579-93d9-eee73e620bde	list_datasets (dimensionality_reduction)	COMPLETED	0	2022-05-14 19:50:44.751	5m 19s	54.4s	14.5%	242 MB	3 GB	38.2 MB	42.3 KB
9	6c/50ef1f	6e9fcdc2-1b97-4f22-be29-a9c562ecfed6	list_metrics (dimensionality_reduction)	COMPLETED	0	2022-05-14 19:50:44.753	5m 19s	53.8s	17.9%	239 MB	3 GB	38.2 MB	42.4 KB
5	46/8f1baa	2ab5dbca-ca9c-4df8-acd2-1ad8a618b8e6	list_methods (denoising)	COMPLETED	0	2022-05-14 19:50:44.782	5m 19s	52s	15.1%	247.4 MB	3 GB	38.2 MB	42.3 KB
17	99/a769c7	8bf114bf-3c82-483e-827a-e03cc0308835	list_methods (multimodal_data_integration)	COMPLETED	0	2022-05-14 19:50:44.796	5m 19s	53.2s	16.7%	241.9 MB	3 GB	38.2 MB	42.4 KB
18	31/e4c2e3	3564269a-f26e-49f6-bb2a-510203da5a0b	list_datasets (regulatory_effect_prediction)	COMPLETED	0	2022-05-14 19:50:44.810	5m 19s	53.6s	17.7%	243.1 MB	3 GB	38.2 MB	42.3 KB
12	5d/3e841f	16e3efe5-2253-47e6-8c13-49c7e905fbc0	list_datasets (label_projection)	COMPLETED	0	2022-05-14 19:50:44.820	5m 20s	53s	17.7%	243.1 MB	3 GB	38.2 MB	42.4 KB
20	64/af257d	c530d36b-bc98-4863-826a-990cf87e1255	list_metrics (regulatory_effect_prediction)	COMPLETED	0	2022-05-14 19:50:44.835	5m 20s	52.7s	14.9%	248.2 MB	3 GB	38.2 MB	42.3 KB
15	b9/800344	07cda0a0-443f-40e9-b1cd-3b166b62d349	list_datasets (multimodal_data_integration)	COMPLETED	0	2022-05-14 19:50:44.837	5m 20s	54.5s	16.6%	241.8 MB	3 GB	38.2 MB	42.3 KB
16	48/ec8b7e	2a8c158c-cfc6-4cf8-9b85-2581dfa0399c	list_metrics (multimodal_data_integration)	COMPLETED	0	2022-05-14 19:50:44.897	5m 20s	52.9s	19.3%	243.9 MB	3 GB	38.2 MB	42.3 KB
19	25/708017	1e107917-4868-4dce-9d9a-4f3c1c3eddf7	list_methods (regulatory_effect_prediction)	COMPLETED	0	2022-05-14 19:50:44.909	5m 20s	53.2s	16.6%	244.6 MB	3 GB	38.2 MB	42.3 KB
31	18/5c6af8	ed93692c-67c3-4e92-bcae-4f6445bf7edc	method_images (dimensionality_reduction:phate_logCPM_1kHVG)	COMPLETED	0	2022-05-14 19:52:24.153	3m 41s	1m 1s	26.5%	229.1 MB	3 GB	72 MB	42.8 KB
33	bf/49afa0	1b14e3cb-97cd-4cd5-b6c2-46f7c480a6b5	method_images (dimensionality_reduction:tsne_logCPM_1kHVG)	COMPLETED	0	2022-05-14 19:52:24.207	3m 41s	1m	27.5%	250.1 MB	3 GB	72 MB	42.7 KB
39	fa/f159e2	542390c2-6f24-418c-bcf2-d8acb0c2f460	metric_images (label_projection:f1)	COMPLETED	0	2022-05-14 19:54:33.702	1m 32s	1m	25.8%	249.1 MB	3 GB	72 MB	42.6 KB
21	b1/a7f45a	b9ce5631-f987-499c-94c9-71308a87c27c	method_images (batch_integration_graph:bbknn_full_unscaled)	COMPLETED	0	2022-05-14 19:51:23.691	4m 50s	1m 5s	27.9%	247.2 MB	3 GB	72 MB	42.7 KB
22	f0/d69b7c	dde9bfd3-5611-4e87-9103-15e01f87a292	dataset_images (denoising:pbmc)	COMPLETED	0	2022-05-14 19:51:23.849	4m 50s	1m 5s	26.3%	246.3 MB	3 GB	72.1 MB	42.8 KB
23	ba/41b35d	cf2f8de1-fdd1-4784-9a07-f2cfb04546dc	metric_images (denoising:mse)	COMPLETED	0	2022-05-14 19:52:23.766	3m 50s	1m 5s	24.4%	247.9 MB	3 GB	72 MB	42.6 KB
25	36/5d2e88	e92067ef-2e19-4f0f-9a6c-9eb6650905a3	method_images (dimensionality_reduction:densmap_logCPM_1kHVG)	COMPLETED	0	2022-05-14 19:52:23.860	3m 50s	1m 4s	26.2%	247 MB	3 GB	72 MB	42.7 KB
24	02/15fad0	a63ecfe1-cc74-4065-83c0-db14d0bc6632	metric_images (denoising:poisson)	COMPLETED	0	2022-05-14 19:52:23.900	3m 50s	1m 2s	29.4%	248.6 MB	3 GB	72 MB	42.7 KB
27	ea/56247d	991ed028-19c2-4146-98b2-80ad882ead4e	method_images (dimensionality_reduction:neuralee_default)	COMPLETED	0	2022-05-14 19:52:23.963	3m 50s	1m 2s	24.8%	245.2 MB	3 GB	72.1 MB	42.7 KB
26	bf/4e9efc	08c854e9-a5f0-47a1-849c-319127773e6b	method_images (dimensionality_reduction:densmap_pca_logCPM_1kHVG)	COMPLETED	0	2022-05-14 19:52:23.977	3m 50s	1m 5s	25.5%	248.4 MB	3 GB	72 MB	42.7 KB
28	a4/d7968f	d2493c58-561f-41a0-9b91-576b0eb9fd44	method_images (dimensionality_reduction:neuralee_logCPM_1kHVG)	COMPLETED	0	2022-05-14 19:52:23.992	3m 50s	1m 1s	25.9%	249.2 MB	3 GB	72.1 MB	42.7 KB
29	53/3b486d	ee04528d-ae4d-4dc7-a815-b406528de043	method_images (dimensionality_reduction:pca_logCPM_1kHVG)	COMPLETED	0	2022-05-14 19:52:24.054	3m 50s	1m 5s	25.6%	247.4 MB	3 GB	72 MB	42.6 KB
30	d0/461946	6869f1dc-5995-4435-b5c1-08b6e8916003	method_images (dimensionality_reduction:phate_default)	COMPLETED	0	2022-05-14 19:52:24.117	3m 50s	1m 3s	28.2%	247.7 MB	3 GB	72 MB	42.7 KB
32	d7/072918	98721978-b809-4def-b86b-b2ee05020cc4	method_images (dimensionality_reduction:scvis_logCM_1kHVG)	COMPLETED	0	2022-05-14 19:52:24.190	3m 50s	1m 4s	23.1%	252.1 MB	3 GB	72.1 MB	42.7 KB
34	27/2490ed	d1bbaead-0d82-4f68-80ac-14514f968316	method_images (dimensionality_reduction:umap_logCPM_1kHVG)	COMPLETED	0	2022-05-14 19:52:24.223	3m 50s	1m 2s	27.7%	228.8 MB	3 GB	72 MB	42.6 KB
35	71/bbc372	50268c45-6094-440c-9cc8-fede7199d7d4	dataset_images (batch_integration_graph:immune_batch)	COMPLETED	0	2022-05-14 19:53:33.762	2m 41s	1m 4s	26.0%	247.7 MB	3 GB	72.1 MB	42.7 KB
36	44/6f2a59	bbd4a4fd-73b9-4f5d-a1c4-035eeeb571eb	dataset_images (batch_integration_graph:pancreas_batch)	COMPLETED	0	2022-05-14 19:53:33.851	2m 41s	1m 3s	25.5%	248.5 MB	3 GB	72.1 MB	42.7 KB
37	18/8a695b	6ea230b4-aa61-43f4-8f5b-fe2354476ad4	metric_images (batch_integration_graph:ari)	COMPLETED	0	2022-05-14 19:53:33.957	2m 41s	1m 5s	27.8%	247.1 MB	3 GB	72 MB	42.7 KB
38	99/c2c346	4c3ee537-d6d9-4af5-9e10-fe747e6fc29d	metric_images (label_projection:accuracy)	COMPLETED	0	2022-05-14 19:54:33.630	1m 41s	1m 3s	25.1%	249.4 MB	3 GB	72 MB	42.6 KB
42	da/bf63ef	33c3aaa2-2b72-4578-aa1b-4815cbb5f179	method_images (label_projection:knn_classifier_scran)	COMPLETED	0	2022-05-14 19:54:33.810	1m 41s	1m 3s	26.0%	247.7 MB	3 GB	72.1 MB	42.7 KB
43	c2/d703f0	8dc76c7b-07b3-454f-8bda-9ee4a975b09d	method_images (label_projection:logistic_regression_log_cpm)	COMPLETED	0	2022-05-14 19:54:33.855	1m 41s	1m 4s	26.0%	248 MB	3 GB	72.1 MB	42.7 KB
44	71/3cfc61	c11feb87-4c80-4e5f-82fe-bec3ce72d1da	method_images (label_projection:logistic_regression_scran)	COMPLETED	0	2022-05-14 19:54:33.909	1m 41s	1m 5s	25.1%	247.5 MB	3 GB	72.1 MB	42.7 KB
45	f5/2523e5	e13b1913-1a84-4357-b285-3e4e524c14a6	method_images (label_projection:majority_vote)	COMPLETED	0	2022-05-14 19:54:33.955	1m 41s	1m 5s	26.0%	247.1 MB	3 GB	72 MB	42.6 KB
46	e3/a2f79b	b933eb75-ffaa-4559-b060-a5a0873b6bb8	method_images (label_projection:mlp_log_cpm)	COMPLETED	0	2022-05-14 19:54:34.004	1m 41s	1m 5s	23.9%	247.4 MB	3 GB	72.1 MB	42.7 KB
47	51/a198f8	afc577f7-58a8-48f2-b01a-623be977faad	method_images (label_projection:mlp_scran)	COMPLETED	0	2022-05-14 19:54:34.040	1m 42s	1m 4s	26.3%	253.4 MB	3 GB	72.1 MB	42.7 KB
49	20/3dcefc	528adf85-8667-45e7-a441-564295854f82	method_images (label_projection:scanvi_all_genes)	COMPLETED	0	2022-05-14 19:54:34.056	1m 42s	1m 3s	27.5%	248.1 MB	3 GB	72 MB	42.6 KB
48	9c/0415ff	313cbb29-da15-41dc-9404-e881c6dd12ef	method_images (label_projection:random_labels)	COMPLETED	0	2022-05-14 19:54:34.115	1m 49s	24.2s	61.3%	246.3 MB	662.4 MB	72 MB	42.6 KB
50	a2/9897db	318b4ae8-887c-422d-996b-ddde43ddb0b8	method_images (label_projection:scanvi_hvg)	COMPLETED	0	2022-05-14 19:54:34.148	1m 49s	24.5s	61.0%	244.7 MB	662.4 MB	72 MB	42.6 KB
54	35/b7cab7	0666ac43-e9de-4155-933c-d8f063667444	dataset_images (dimensionality_reduction:olsson_2016_mouse_blood)	COMPLETED	0	2022-05-14 19:56:03.883	1m 29s	1m 2s	25.8%	247 MB	3 GB	72.1 MB	42.8 KB
59	a4/e833f3	dd873a83-fd31-4b74-975b-98b7fa0c2923	metric_images (dimensionality_reduction:qglobal)	COMPLETED	0	2022-05-14 19:56:03.929	1m 29s	1m 4s	23.6%	247.8 MB	3 GB	72.1 MB	42.7 KB
60	d0/915b49	2df66279-ac69-4eec-9039-8b7f293a25c3	metric_images (dimensionality_reduction:qlocal)	COMPLETED	0	2022-05-14 19:56:03.934	1m 30s	1m 4s	24.0%	247.6 MB	3 GB	72.1 MB	42.7 KB
62	ec/29f99a	60527a34-c8e7-44d3-8405-ba53ce38e88f	metric_images (dimensionality_reduction:qnn_auc)	COMPLETED	0	2022-05-14 19:56:04.008	1m 30s	1m 4s	24.7%	248.2 MB	3 GB	72.1 MB	42.7 KB
65	4e/8b453b	cad4a3ee-7c35-4d23-b28c-401208f4fa10	method_images (denoising:magic)	COMPLETED	0	2022-05-14 19:56:04.099	1m 30s	1m 6s	24.3%	222 MB	3 GB	72 MB	42.7 KB
64	d9/67387c	65602b79-d5d5-4b2d-a39c-cd0c1f8262d9	metric_images (dimensionality_reduction:trustworthiness)	COMPLETED	0	2022-05-14 19:56:04.150	1m 30s	1m 4s	25.0%	247.7 MB	3 GB	72 MB	42.7 KB
66	c6/bcd696	d11a1d5a-751e-47bf-8573-1674fded4a86	method_images (denoising:magic_approx)	COMPLETED	0	2022-05-14 19:56:04.154	1m 30s	1m 5s	25.8%	248.4 MB	3 GB	72 MB	42.7 KB
67	88/4fc59d	579f7a64-8db2-4766-b246-2b198358aa97	method_images (denoising:no_denoising)	COMPLETED	0	2022-05-14 19:56:04.160	1m 30s	1m 4s	24.0%	246.8 MB	3 GB	72 MB	42.7 KB
71	3e/07d85e	368795e8-ba64-4087-ad94-ec471771de52	method_images (multimodal_data_integration:mnn_log_scran_pooling)	COMPLETED	0	2022-05-14 19:56:04.424	1m 30s	1m 5s	26.3%	245.9 MB	3 GB	72.1 MB	42.8 KB
84	09/7c0195	06843df5-1f13-40f4-93f8-ab19cd851796	dataset_images (multimodal_data_integration:citeseq_cbmc)	COMPLETED	0	2022-05-14 19:56:05.014	1m 29s	1m 5s	23.0%	228.2 MB	3 GB	72.1 MB	42.7 KB
88	9d/d058b2	44f87254-2a5f-4684-8aaf-501ac30964ec	metric_images (multimodal_data_integration:mse)	COMPLETED	0	2022-05-14 19:56:05.114	1m 29s	1m 6s	27.1%	249.7 MB	3 GB	72 MB	42.6 KB
51	3b/23c199	d3f7334c-ecaf-4aed-9d99-a91c436a2b7d	method_images (label_projection:scarches_scanvi_all_genes)	COMPLETED	0	2022-05-14 19:54:34.160	3m 9s	32.1s	42.9%	247.5 MB	1.1 GB	72 MB	42.6 KB
52	d6/84506a	a30efd4d-9680-452b-9b5d-123cd2bce9cb	method_images (label_projection:scarches_scanvi_hvg)	COMPLETED	0	2022-05-14 19:54:34.232	3m 9s	32s	41.8%	247.4 MB	1.1 GB	72 MB	42.6 KB
57	92/c498d6	e1bf8180-f511-436b-b5db-81d7ebc079d2	metric_images (dimensionality_reduction:density_preservation)	COMPLETED	0	2022-05-14 19:56:03.796	1m 40s	31.4s	42.8%	222.4 MB	1.1 GB	72 MB	42.6 KB
61	71/c98b8d	f395cf54-34a6-4f18-aa0d-a7ad3b76e3b1	metric_images (dimensionality_reduction:qnn)	COMPLETED	0	2022-05-14 19:56:04.060	1m 40s	32.4s	42.2%	247.4 MB	1.1 GB	72 MB	42.6 KB
63	a7/a30533	19702340-801b-44a7-b81a-f3eccb531653	metric_images (dimensionality_reduction:rmse)	COMPLETED	0	2022-05-14 19:56:04.141	1m 40s	1m 7s	23.9%	220.4 MB	3 GB	72 MB	42.6 KB
76	14/e0757c	0c8edf53-4b35-42fb-9312-2349989cc857	dataset_images (label_projection:pancreas_batch)	COMPLETED	0	2022-05-14 19:56:04.757	1m 39s	1m 7s	25.3%	221 MB	3 GB	72.1 MB	42.7 KB
78	24/ffa944	c3e543aa-2e82-4ae7-bb64-7f713646c0dd	dataset_images (label_projection:pancreas_random_label_noise)	COMPLETED	0	2022-05-14 19:56:04.808	1m 39s	1m 7s	22.2%	248.4 MB	3 GB	72.1 MB	42.7 KB
79	63/61fca8	1b9cc3c3-26b6-4243-aec4-ba64badc6a55	dataset_images (label_projection:tabula_muris_senis_lung_random)	COMPLETED	0	2022-05-14 19:56:04.815	1m 39s	1m 5s	24.5%	238.1 MB	3 GB	72.1 MB	42.7 KB
80	30/1920c1	c24bf294-949d-44db-842c-4903ab9b8dd9	dataset_images (label_projection:zebrafish_labels)	COMPLETED	0	2022-05-14 19:56:04.873	1m 39s	1m 5s	27.2%	222 MB	3 GB	72.1 MB	42.7 KB
81	d8/ee224b	932026de-b16e-4c73-a731-92e5c2bb2728	metric_images (regulatory_effect_prediction:pearson_correlation)	COMPLETED	0	2022-05-14 19:56:04.875	1m 39s	1m 6s	20.7%	249.8 MB	3 GB	72 MB	42.6 KB
82	b7/f83c98	cbcd0789-3bac-42c7-8b1d-ff1913716197	dataset_images (label_projection:zebrafish_random)	COMPLETED	0	2022-05-14 19:56:04.903	1m 39s	1m 8s	23.9%	247.7 MB	3 GB	72.1 MB	42.7 KB
83	be/854460	4ba6a214-ce66-453c-89f1-1c7c5d703313	metric_images (regulatory_effect_prediction:spearman_correlation)	COMPLETED	0	2022-05-14 19:56:04.911	1m 40s	1m 6s	24.2%	249.7 MB	3 GB	72 MB	42.6 KB
85	87/35c3ac	521e631e-643a-433d-b9d7-f5a9f970ce9d	dataset_images (multimodal_data_integration:scicar_cell_lines)	COMPLETED	0	2022-05-14 19:56:05.072	1m 40s	1m 5s	25.1%	232.5 MB	3 GB	72.1 MB	42.8 KB
87	2b/a7cd2c	a8cd18ef-a04b-4518-aa87-f553162a53d6	metric_images (multimodal_data_integration:knn_auc)	COMPLETED	0	2022-05-14 19:56:05.087	1m 40s	1m 3s	25.1%	248.4 MB	3 GB	72 MB	42.6 KB
86	c2/e91932	1502c1e5-02b2-4044-9f35-40f984b2454f	dataset_images (multimodal_data_integration:scicar_mouse_kidney)	COMPLETED	0	2022-05-14 19:56:05.141	1m 40s	1m 5s	25.6%	243.4 MB	3 GB	72.1 MB	42.8 KB
89	26/933440	2ff53d4a-684b-4e9b-9159-b248fa4e4e9c	method_images (regulatory_effect_prediction:beta)	COMPLETED	0	2022-05-14 19:56:05.259	1m 40s	1m 2s	23.7%	246.9 MB	3 GB	72.1 MB	42.8 KB
55	be/7a81a1	f2bf2269-2a73-4152-b06e-187c797c7205	dataset_images (dimensionality_reduction:tenx_5k_pbmc)	COMPLETED	0	2022-05-14 19:56:03.707	1m 50s	32.7s	42.1%	247.8 MB	1.1 GB	72.1 MB	42.7 KB
53	e0/ab6a94	3e5a58fe-09fc-4d3d-a766-28e57bc30824	dataset_images (dimensionality_reduction:human_blood_nestorowa2016)	COMPLETED	0	2022-05-14 19:56:03.812	1m 50s	32.5s	43.7%	247.8 MB	1.1 GB	72.1 MB	42.7 KB
58	c1/d82685	b946c02f-1c92-446d-9b3c-b62d9116e9dc	metric_images (dimensionality_reduction:lcmc)	COMPLETED	0	2022-05-14 19:56:03.879	1m 50s	32.3s	42.1%	246.8 MB	1.1 GB	72 MB	42.6 KB
56	18/ac0452	15cde96f-8b0b-4ca6-bb5e-60718df3cc2c	metric_images (dimensionality_reduction:continuity)	COMPLETED	0	2022-05-14 19:56:03.931	1m 50s	32.5s	43.5%	247.2 MB	1.1 GB	72 MB	42.6 KB
69	49/5fba12	25b146aa-84f3-42f6-a831-6be46a03d931	method_images (multimodal_data_integration:harmonic_alignment_sqrt_cpm)	COMPLETED	0	2022-05-14 19:56:04.191	1m 50s	32.9s	42.5%	248 MB	1.1 GB	72 MB	42.7 KB
68	d0/646ae8	9a2cfd6f-4b42-4b41-bbde-096f12d9d079	method_images (multimodal_data_integration:harmonic_alignment_log_scran_pooling)	COMPLETED	0	2022-05-14 19:56:04.228	1m 50s	32.1s	43.7%	248.1 MB	1.1 GB	72 MB	42.7 KB
70	1e/ba8efc	83e4377c-1a03-492e-8c67-f399a4d6f2c8	method_images (multimodal_data_integration:mnn_log_cpm)	COMPLETED	0	2022-05-14 19:56:04.268	1m 50s	31.6s	43.8%	248.3 MB	1.1 GB	72.1 MB	42.8 KB
72	9f/122784	35e189d4-bd3b-4233-80ed-7c44400d7d5f	method_images (multimodal_data_integration:procrustes)	COMPLETED	0	2022-05-14 19:56:04.281	1m 50s	32.8s	41.5%	247.6 MB	1.1 GB	72 MB	42.6 KB
73	b1/d7d7dc	fabf36eb-09ff-41e8-b73a-6b9f5c3af43b	dataset_images (regulatory_effect_prediction:scicar_mouse_kidney)	COMPLETED	0	2022-05-14 19:56:04.528	1m 50s	32.7s	44.5%	247.9 MB	1.1 GB	72.1 MB	42.8 KB
75	ac/26028a	04567e70-27ce-4f95-94f4-b8bedce3c7f7	dataset_images (label_projection:cengen_random)	COMPLETED	0	2022-05-14 19:56:04.628	1m 50s	32.5s	44.0%	247.5 MB	1.1 GB	72.1 MB	42.7 KB
74	9f/72ab69	72551c03-8433-435a-9717-ff78e5ea60a0	dataset_images (label_projection:cengen_batch)	COMPLETED	0	2022-05-14 19:56:04.679	1m 50s	32.4s	43.3%	246.9 MB	1.1 GB	72.1 MB	42.7 KB
77	d7/6f1bb0	29f83c81-b269-40d5-8c26-9ceb489c7105	dataset_images (label_projection:pancreas_random)	COMPLETED	0	2022-05-14 19:56:04.747	1m 50s	32.5s	43.5%	247.7 MB	1.1 GB	72.1 MB	42.7 KB
90	86/7f052a	21e713d3-36b4-41bd-87bd-e00409ccce98	load_dataset (denoising:pbmc:openproblems-python-extras)	COMPLETED	0	2022-05-14 19:56:13.771	1m 41s	16.4s	66.4%	1 GB	8.1 GB	55.7 MB	507.8 MB
100	c5/b8d42b	05d6290d-1ef1-4e71-95e0-7a7cfed3f89d	load_dataset (multimodal_data_integration:scicar_cell_lines:openproblems)	COMPLETED	0	2022-05-14 19:57:44.833	1m 8s	50.6s	70.3%	807.2 MB	1.6 GB	127.3 MB	357.4 MB
102	e0/9505d1	a92538bf-cda2-49b3-b108-5f7184f02c7e	load_dataset (dimensionality_reduction:tenx_5k_pbmc:openproblems)	COMPLETED	0	2022-05-14 19:57:53.699	59.9s	24.1s	37.1%	289.6 MB	3 GB	187.7 MB	362.7 MB
110	82/c66082	81859e5d-51a9-4a0d-90f4-749c94517432	run_method (denoising:no_denoising-pbmc:openproblems)	COMPLETED	0	2022-05-14 19:57:55.233	59.1s	15.8s	51.3%	194.9 MB	2.9 GB	414.8 MB	501.9 MB
93	51/d8f88a	dbe83070-d3bf-422d-9ad8-e84cd2d9f5c4	load_dataset (dimensionality_reduction:olsson_2016_mouse_blood:openproblems)	COMPLETED	0	2022-05-14 19:57:33.605	1m 30s	1m 3s	16.0%	1.4 GB	1.8 GB	1.1 GB	1.7 GB
98	86/b4f65a	889acc2a-8674-4f1c-b064-2542c49c89a3	load_dataset (label_projection:zebrafish_labels:openproblems)	COMPLETED	0	2022-05-14 19:57:44.421	1m 19s	42.5s	22.4%	1.4 GB	2.1 GB	225.4 MB	1.6 GB
99	ce/409a0a	e87e7616-9121-4e61-821f-4919abfcc3f4	load_dataset (label_projection:zebrafish_random:openproblems)	COMPLETED	0	2022-05-14 19:57:44.661	1m 19s	41.9s	22.4%	1.4 GB	2.1 GB	225.4 MB	1.6 GB
108	3d/d66275	97f6dc7a-7410-4de0-ab80-7adda17a34db	run_method (denoising:magic-pbmc:openproblems-python-extras)	COMPLETED	0	2022-05-14 19:57:55.076	1m 9s	31s	870.1%	957.1 MB	7.5 GB	416.1 MB	501.9 MB
109	24/b36202	cff84367-0a10-444c-8bce-cdbcf01a0fe0	run_method (denoising:magic_approx-pbmc:openproblems-python-extras)	COMPLETED	0	2022-05-14 19:57:55.098	1m 18s	31s	819.6%	957.4 MB	7.5 GB	416.1 MB	501.9 MB
101	bf/d0d51f	40fdd662-1157-4bbf-bf5b-ed4f66771428	load_dataset (multimodal_data_integration:scicar_mouse_kidney:openproblems)	COMPLETED	0	2022-05-14 19:57:45.037	1m 48s	1m 16s	82.3%	690.5 MB	1.5 GB	174.5 MB	505.5 MB
103	bb/60b97d	e18fbfa9-88db-42a3-89e9-53996ec72080	load_dataset (dimensionality_reduction:human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 19:57:53.767	1m 40s	53.6s	22.4%	1.2 GB	3.8 GB	744.4 MB	1.6 GB
105	49/37a55c	8a89a36f-f26d-440e-8347-e1e1cfc46dad	load_dataset (label_projection:cengen_random:openproblems)	COMPLETED	0	2022-05-14 19:57:54.507	1m 39s	57.7s	22.3%	1.3 GB	3.8 GB	770.4 MB	1.8 GB
106	d3/9cde96	e5b00522-b3e0-4227-a961-f9ffb9e3be94	load_dataset (label_projection:cengen_batch:openproblems)	COMPLETED	0	2022-05-14 19:57:54.642	1m 39s	1m 4s	20.7%	1.3 GB	3.8 GB	770.4 MB	1.8 GB
104	b0/f5b2d8	4088a9f2-642a-42ad-af93-34a4a5c11aa9	load_dataset (regulatory_effect_prediction:scicar_mouse_kidney:openproblems)	COMPLETED	0	2022-05-14 19:57:54.480	1m 59s	1m 20s	81.0%	912.8 MB	3.4 GB	174.5 MB	505.5 MB
121	e3/975a86	283d9007-d779-442a-a63a-1c79aa5bee50	run_metric (denoising:mse-no_denoising-pbmc:openproblems)	COMPLETED	0	2022-05-14 19:58:54.744	1m 19s	41.9s	20.0%	750 MB	3.3 GB	539.8 MB	42.3 KB
124	3a/8a0d74	76ea2e5c-fb4a-4a93-8e0f-bc6811fcf022	run_method (dimensionality_reduction:pca_logCPM_1kHVG-tenx_5k_pbmc:openproblems)	COMPLETED	0	2022-05-14 19:58:54.758	1m 23s	44.5s	49.9%	473.8 MB	3 GB	183.5 MB	12.9 MB
122	d3/68d26c	4abe5b7d-b92c-4d2f-bbd6-ac568e111f09	run_metric (denoising:poisson-no_denoising-pbmc:openproblems-python-extras)	COMPLETED	0	2022-05-14 19:58:54.663	1m 40s	1m 3s	21.9%	1.2 GB	8.4 GB	547.2 MB	42.3 KB
115	29/9d0883	2d53b5cb-3e53-4dda-80a0-115d9c8cd8ef	run_method (multimodal_data_integration:procrustes-scicar_cell_lines:openproblems)	COMPLETED	0	2022-05-14 19:58:53.800	2m 10s	1m 32s	499.3%	677.3 MB	3.7 GB	199 MB	230.2 MB
117	89/19f1c5	c9db55b7-c41b-4046-9a8b-efd24933b54f	run_method (dimensionality_reduction:tsne_logCPM_1kHVG-tenx_5k_pbmc:openproblems-python-extras)	COMPLETED	0	2022-05-14 19:58:54.415	2m 49s	49.4s	385.7%	790.4 MB	2.8 GB	184.1 MB	12.9 MB
128	a6/c148a5	4055ac06-daa7-42c0-a73d-f91da523e63b	run_method (dimensionality_reduction:phate_logCPM_1kHVG-olsson_2016_mouse_blood:openproblems-python-extras)	COMPLETED	0	2022-05-14 19:59:03.703	2m 40s	1m 30s	370.9%	1.1 GB	14.5 GB	634.4 MB	10.6 MB
127	d2/d36e85	fa2c9339-b4b5-44b2-9096-32e099d4e97c	run_method (dimensionality_reduction:umap_logCPM_1kHVG-tenx_5k_pbmc:openproblems)	COMPLETED	0	2022-05-14 19:58:54.868	2m 59s	1m 32s	113.4%	784.1 MB	6.1 GB	184.5 MB	15.6 MB
