gene,alias
ADGB,ADGB
LMAN1L,ERGIC-53L
LMAN1L,ERGL
LMAN1L,LMAN1L
ZNF385D,ZNF659
ZNF385D,ZNF385D
SLC25A22,DEE3
SLC25A22,EIEE3
SLC25A22,GC-1
SLC25A22,GC1
SLC25A22,NET44
SLC25A22,SLC25A22
ZFAND1,ZFAND1
SNIP1,PML1
SNIP1,PMRED
SNIP1,SNIP1
ASB13,ASB13
ZNF750,ZFP750
ZNF750,ZNF750
DHRS12,SDR40C1
DHRS12,DHRS12
ZNF668,ZNF668
GEMIN7,SIP3
GEMIN7,GEMIN7
C1orf115,RDD1
C1orf115,C1orf115
ISOC2,ISOC2
ELMO3,CED-12
ELMO3,CED12
ELMO3,ELMO-3
ELMO3,ELMO3
KATNBL1,C15orf29
KATNBL1,KATNBL1
TXNDC15,BUG
TXNDC15,C5orf14
TXNDC15,UNQ335
TXNDC15,TXNDC15
MCTP1,MCTP1
GRTP1,TBC1D6
GRTP1,GRTP1
ZFHX4,ZFH4
ZFHX4,ZHF4
ZFHX4,ZFHX4
ACBD4,HMFT0700
ACBD4,ACBD4
MICALL2,JRAB
MICALL2,MICAL-L2
MICALL2,MICALL2
CCDC82,HSPC048
CCDC82,CCDC82
IQCA1,4930465P12Rik
IQCA1,DRC11
IQCA1,IQCA
IQCA1,IQCA1
LRRC31,HEL-S-293
LRRC31,LRRC31
SUGCT,C7orf10
SUGCT,DERP13
SUGCT,GA3
SUGCT,ORF19
SUGCT,SUGCT
MYH14,DFNA4
MYH14,DFNA4A
MYH14,FP17425
MYH14,MHC16
MYH14,MYH17
MYH14,NMHC II-C
MYH14,NMHC-II-C
MYH14,PNMHH
MYH14,myosin
MYH14,MYH14
RERGL,RERGL
KLHL36,C16orf44
KLHL36,KLHL36
ZNF665,ZFP160L
ZNF665,ZNF665
CLMN,CLMN
FBXO31,FBX14
FBXO31,FBXO14
FBXO31,Fbx31
FBXO31,MRT45
FBXO31,pp2386
FBXO31,FBXO31
GSDMD,DF5L
GSDMD,DFNA5L
GSDMD,FKSG10
GSDMD,GSDMDC1
GSDMD,GSDMD
SPRING1,C12orf49
SPRING1,LUR1
SPRING1,POST1
SPRING1,SPRING
SPRING1,SPRING1
ALG9,CDG1L
ALG9,DIBD1
ALG9,GIKANIS
ALG9,LOH11CR1J
ALG9,ALG9
ZNF408,EVR6
ZNF408,RP72
ZNF408,ZNF408
ARMC5,AIMAH2
ARMC5,ARMC5
UGT2A3,UGT2A3
CARF,ALS2CR8
CARF,NYD-SP24
CARF,CARF
SHCBP1,PAL
SHCBP1,SHCBP1
HHIPL2,KIAA1822L
HHIPL2,HHIPL2
HPS6,BLOC2S3
HPS6,HPS6
HAND2-AS1,DEIN
HAND2-AS1,NBLA00301
HAND2-AS1,UPH
HAND2-AS1,HAND2-AS1
VASH2,VASH2
GSTCD,GSTCD
TTC21B,ATD4
TTC21B,FAP60
TTC21B,FLA17
TTC21B,IFT139
TTC21B,IFT139B
TTC21B,JBTS11
TTC21B,NPHP12
TTC21B,Nbla10696
TTC21B,SRTD4
TTC21B,THM1
TTC21B,TTC21B
PTCD2,PTCD2
SLTM,Met
SLTM,SLTM
MMRN2,EMILIN-3
MMRN2,EMILIN3
MMRN2,ENDOGLYX-1
MMRN2,MMRN2
EHMT1,EHMT1-IT1
EHMT1,EUHMTASE1
EHMT1,Eu-HMTase1
EHMT1,FP13812
EHMT1,GLP
EHMT1,GLP1
EHMT1,KLEFS1
EHMT1,KMT1D
EHMT1,EHMT1
AGMAT,AGMAT
NIPAL2,NPAL2
NIPAL2,SLC57A4
NIPAL2,NIPAL2
TLE6,GRG6
TLE6,PREMBL
TLE6,TLE6
MOB3B,C9orf35
MOB3B,MOB1D
MOB3B,MOBKL2B
MOB3B,MOB3B
ZNF552,ZNF552
DNAI4,DIC4
DNAI4,WDR78
DNAI4,DNAI4
CATSPERB,C14orf161
CATSPERB,CatSper(beta)
CATSPERB,CATSPERB
ARHGAP28,ARHGAP28
CAMKMT,C2orf34
CAMKMT,CLNMT
CAMKMT,CaM KMT
CAMKMT,Cam
CAMKMT,KMT
CAMKMT,CAMKMT
EFCC1,C3orf73
EFCC1,CCDC48
EFCC1,EFCC1
CLMP,ACAM
CLMP,ASAM
CLMP,CSBM
CLMP,CSBS
CLMP,CLMP
METTL8,TIP
METTL8,METTL8
"NAA40","NAT11"
"NAA40",NatD
"NAA40",PATT1
"NAA40",hNatD
"NAA40","NAA40"
ZMYM1,MYM
ZMYM1,ZMYM1
KDM8,JMJD5
KDM8,KDM8
QSER1,QSER1
GEMIN6,GEMIN6
PEAK1,SGK269
PEAK1,PEAK1
LONRF3,RNF127
LONRF3,LONRF3
PIP4K2C,PIP5K2C
PIP4K2C,PIP4K2C
TMC5,TMC5
CCDC102B,ACY1L
CCDC102B,AN
CCDC102B,C18orf14
CCDC102B,HsT1731
CCDC102B,CCDC102B
NHEJ1,XLF
NHEJ1,NHEJ1
AGBL2,CCP2
AGBL2,AGBL2
ZBTB3,ZBTB3
FAM124B,FAM124B
ZDHHC11,ZNF399
ZDHHC11,ZDHHC11
RNF122,RNF122
CFAP69,C7orf63
CFAP69,FAP69
CFAP69,SPGF24
CFAP69,CFAP69
MFSD13A,C10orf77
MFSD13A,TMEM180
MFSD13A,bA18I14.8
MFSD13A,MFSD13A
CSPP1,CSPP
CSPP1,CSPP-L
CSPP1,JBTS21
CSPP1,CSPP1
PDZD3,IKEPP
PDZD3,NHERF4
PDZD3,PDZK2
PDZD3,PDZD3
TLCD3A,CT120
TLCD3A,FAM57A
TLCD3A,TLCD3A
EPHX3,ABHD9
EPHX3,EH3
EPHX3,EPHX3
TM4SF20,PRO994
TM4SF20,SLI5
TM4SF20,TCCE518
TM4SF20,TM4SF20
LINC00115,NCRNA00115
LINC00115,LINC00115
SNX22,SNX22
FLJ13224,FLJ13224
NEK11,NEK11
TUBAL3,TUBAL3
ZNF669,ZNF669
RBFA,C18orf22
RBFA,HsT169
RBFA,RBFA
JHY,C11orf63
JHY,JHY
TREML2,C6orf76
TREML2,TLT-2
TREML2,TLT2
TREML2,dJ238O23.1
TREML2,TREML2
BORA,C13orf34
BORA,BORA
TCTN2,C12orf38
TCTN2,JBTS24
TCTN2,MKS8
TCTN2,TECT2
TCTN2,TCTN2
ALG13,CDG1S
ALG13,CXorf45
ALG13,DEE36
ALG13,EIEE36
ALG13,GLT28D1
ALG13,MDS031
ALG13,TDRD13
ALG13,YGL047W
ALG13,ALG13
CPSF7,CFIm59
CPSF7,CPSF7
BAALC,BAALC
RPAP2,C1orf82
RPAP2,Rtr1
RPAP2,RPAP2
CBLL1,HAKAI
CBLL1,RNF188
CBLL1,CBLL1
NUDT18,MTH3
NUDT18,NUDT18
RABEP2,FRA
RABEP2,RABEP2
THSD4,ADAMTSL-6
THSD4,ADAMTSL6
THSD4,FVSY9334
THSD4,PRO34005
THSD4,THSD4
UBA5,DEE44
UBA5,EIEE44
UBA5,SCAR24
UBA5,THIFP1
UBA5,UBE1DC1
UBA5,UBA5
DCAKD,DCAKD
CCDC134,CCDC134
ZC3H14,MRT56
ZC3H14,MSUT-2
ZC3H14,NY-REN-37
ZC3H14,SUT2
ZC3H14,UKp68
ZC3H14,ZC3H14
PODNL1,SLRR5B
PODNL1,PODNL1
MAP9,ASAP
MAP9,MAP9
HDAC11,HD11
HDAC11,HDAC11
CAAP1,C9orf82
CAAP1,CAAP
CAAP1,CAAP1
PLBD1,PLBD1
LPCAT1,AGPAT10
LPCAT1,AGPAT9
LPCAT1,AYTL2
LPCAT1,LPCAT-1
LPCAT1,PFAAP3
LPCAT1,lpcat
LPCAT1,lysoPAFAT
LPCAT1,LPCAT1
RIN3,RIN3
ZNF671,ZNF671
MCMBP,C10orf119
MCMBP,MCM-BP
MCMBP,MCMBP
GGNBP2,DIF-3
GGNBP2,DIF3
GGNBP2,LCRG1
GGNBP2,LZK1
GGNBP2,ZFP403
GGNBP2,ZNF403
GGNBP2,GGNBP2
ZNF672,ZNF672
ATP8B4,ATPIM
ATP8B4,ATP8B4
THNSL1,TSH1
THNSL1,THNSL1
RPP21,C6orf135
RPP21,CAT60
RPP21,RPP21
ZNF613,ZNF613
PRR5L,PROTOR2
PRR5L,PRR5L
CYBRD1,CYB561A2
CYBRD1,DCYTB
CYBRD1,FRRS3
CYBRD1,CYBRD1
NUP85,FROUNT
NUP85,NPHS17
NUP85,Nup75
NUP85,NUP85
"NAA60",HAT4
"NAA60","NAT15"
"NAA60",NatF
"NAA60",hNaa60
"NAA60","NAA60"
TMC7,TMC7
MORN1,MORN1
BTNL8,BTN9.2
BTNL8,BTNL8
PYROXD1,MFM8
PYROXD1,PYROXD1
ACTR5,Arp5
ACTR5,INO80M
ACTR5,ACTR5
ATAD5,C17orf41
ATAD5,ELG1
ATAD5,FRAG1
ATAD5,ATAD5
MAGIX,JM10
MAGIX,PDZX
MAGIX,MAGIX
SETD6,SETD6
MAB21L4,C2orf54
MAB21L4,MAB21L4
TCEAL4,NPD017
TCEAL4,WEX7
TCEAL4,TCEAL4
MRM1,MRM1
"NANOG","NANOG"
ADM2,AM2
ADM2,dJ579N16.4
ADM2,ADM2
SPEF2,CT122
SPEF2,KPL2
SPEF2,SPGF43
SPEF2,SPEF2
FAM110D,GRRP1
FAM110D,FAM110D
MAP6D1,MAPO6D1
MAP6D1,SL21
MAP6D1,MAP6D1
DOK3,DOKL
DOK3,DOK3
TNIP3,ABIN-3
TNIP3,LIND
TNIP3,TNIP3
KIAA0319L,AAVR
KIAA0319L,AAVRL
KIAA0319L,KIAA0319L
SYNPO2L,SYNPO2L
COQ8B,ADCK4
COQ8B,NPHS9
COQ8B,COQ8B
CCNP,CNTD2
CCNP,CCNP
CNTNAP3,CASPR3
CNTNAP3,CNTNAP3A
CNTNAP3,CNTNAP3
SLC35E1,SLC35E1
LINC00472,C6orf155
LINC00472,P53RRA
LINC00472,LINC00472
ZNF696,ZNF696
L2HGDH,C14orf160
L2HGDH,L2HGA
L2HGDH,L2HGDH
C10orf95,C10orf95
DHDDS,CIT
DHDDS,CPT
DHDDS,DEDSM
DHDDS,DS
DHDDS,HDS
DHDDS,RP59
DHDDS,hCIT
DHDDS,DHDDS
PLPPR3,LPPR3
PLPPR3,LPR3
PLPPR3,PRG-2
PLPPR3,PRG2
PLPPR3,PLPPR3
PLEKHS1,C10orf81
PLEKHS1,HEL185
PLEKHS1,PLEKHS1
SYNDIG1,C20orf39
SYNDIG1,DSPC2
SYNDIG1,IFITMD5
SYNDIG1,TMEM90B
SYNDIG1,SYNDIG1
NOL10,PQBP5
NOL10,NOL10
PDZD7,DFNB57
PDZD7,PDZK7
PDZD7,PDZD7
ERMP1,FXNA
ERMP1,KIAA1815
ERMP1,bA207C16.3
ERMP1,ERMP1
PAQR6,PRdelta
PAQR6,PAQR6
DENND1C,FAM31C
DENND1C,DENND1C
CEP76,C18orf9
CEP76,HsT1705
CEP76,CEP76
JADE1,PHF17
JADE1,JADE1
DENND2D,DENND2D
DNAJC22,wus
DNAJC22,DNAJC22
ABCA11P,ABCA11
ABCA11P,EST1133530
ABCA11P,ABCA11P
SCD5,ACOD4
SCD5,DFNA79
SCD5,FADS4
SCD5,HSCD5
SCD5,SCD2
SCD5,SCD4
SCD5,SCD5
WDR76,CDW14
WDR76,WDR76
ATAT1,C6orf134
ATAT1,MEC17
ATAT1,Nbla00487
ATAT1,TAT
ATAT1,alpha-TAT
ATAT1,alpha-TAT1
ATAT1,ATAT1
ZNF767P,ZNF767
ZNF767P,ZNF767P
WLS,C1orf139
WLS,EVI
WLS,GPR177
WLS,MRP
WLS,mig-14
WLS,WLS
ZNF442,ZNF442
CPED1,C7orf58
CPED1,CPED1
GRHL2,BOM
GRHL2,DFNA28
GRHL2,ECTDS
GRHL2,PPCD4
GRHL2,TFCP2L3
GRHL2,GRHL2
TRMT2B,CXorf34
TRMT2B,dJ341D10.3
TRMT2B,TRMT2B
DSN1,C20orf172
DSN1,KNL3
DSN1,MIS13
DSN1,dJ469A13.2
DSN1,hKNL-3
DSN1,DSN1
FRMD1,bA164L23.1
FRMD1,FRMD1
DNAJB14,EGNR9427
DNAJB14,PRO34683
DNAJB14,DNAJB14
POF1B,POF
POF1B,POF2B
POF1B,POF1B
ZNF702P,ZNF702
ZNF702P,ZNF702P
SVEP1,C9orf13
SVEP1,CCP22
SVEP1,POLYDOM
SVEP1,SEL-OB
SVEP1,SELOB
SVEP1,SVEP1
TTC26,DYF13
TTC26,IFT56
TTC26,dyf-13
TTC26,TTC26
PLEKHH3,PLEKHH3
STN1,AAF-44
STN1,AAF44
STN1,OBFC1
STN1,RPA-32
STN1,bA541N10.2
STN1,STN1
AGPAT4-IT1,C6orf59
AGPAT4-IT1,NCRNA00241
AGPAT4-IT1,AGPAT4-IT1
ELOVL7,ELOVL7
ANKRD53,ANKRD53
GRAPL-AS1,GRAPL-AS1
GREB1L,C18orf6
GREB1L,DFNA80
GREB1L,KIAA1772
GREB1L,RHDA3
GREB1L,GREB1L
PCNX2,PCNXL2
PCNX2,PCNX2
ESRP2,RBM35B
ESRP2,ESRP2
DOCK5,DOCK5
TRAPPC13,C5orf44
TRAPPC13,SHLD3
TRAPPC13,TRAPPC13
C10orf88,PAAT
C10orf88,C10orf88
TMEM156,TMEM156
RMI1,BLAP75
RMI1,C9orf76
RMI1,FAAP75
RMI1,RMI1
PSME3IP1,C16orf94
PSME3IP1,CDA018
PSME3IP1,CDA10
PSME3IP1,FAM192A
PSME3IP1,NIP30
PSME3IP1,PIP30
PSME3IP1,PSME3IP1
PHC3,EDR3
PHC3,HPH3
PHC3,PHC3
MINDY3,C10orf97
MINDY3,CARP
MINDY3,DERP5
MINDY3,FAM188A
MINDY3,MST126
MINDY3,MSTP126
MINDY3,my042
MINDY3,MINDY3
WWC2,BOMB
WWC2,WWC2
DGLUCY,C14orf159
DGLUCY,DGLUCY
"NAA25",C12orf30
"NAA25",MDM20
"NAA25","NAP1"
"NAA25","NAA25"
UBTD1,UBTD1
FOXRED2,ERFAD
FOXRED2,FOXRED2
TMEM62,TMEM62
MYO15B,MYO15BP
MYO15B,MYO15B
NRSN2,C20orf98
NRSN2,dJ1103G7.6
NRSN2,NRSN2
SLC8B1,NCKX6
SLC8B1,NCLX
SLC8B1,SLC24A6
SLC8B1,SLC8B1
PANK2,C20orf48
PANK2,HARP
PANK2,HSS
PANK2,NBIA1
PANK2,PKAN
PANK2,PANK2
FBXL18,Fbl18
FBXL18,FBXL18
SEMA6D,SEMA6D
ZNF556,ZNF556
CSRNP3,FAM130A2
CSRNP3,PPP1R73
CSRNP3,TAIP-2
CSRNP3,TAIP2
CSRNP3,CSRNP3
ANP32A-IT1,C15orf28
ANP32A-IT1,HsT18971
ANP32A-IT1,NCRNA00321
ANP32A-IT1,ANP32A-IT1
TRPM3,GON-2
TRPM3,LTRPC3
TRPM3,MLSN2
TRPM3,TRPM3
FAM106A,FAM106A
GPR157,GPR157
RPS2P45,RPS2_21_1492
RPS2P45,RPS2P45
CEBPA-DT,ADINR
CEBPA-DT,CEBPA-AS1
CEBPA-DT,CEBPA-DT
PGAP1,Bst1
PGAP1,ISPD3024
PGAP1,MRT42
PGAP1,NEDDSBA
PGAP1,SPG67
PGAP1,PGAP1
LRRTM4,LRRTM4
GNL3LP1,GNL3LP
GNL3LP1,GNL3LP1
ATF7IP2,MCAF2
ATF7IP2,ATF7IP2
DCAF17,C20orf37
DCAF17,C2orf37
DCAF17,DCAF17
LINC00574,C6orf208
LINC00574,CRALA
LINC00574,dJ182D15.1
LINC00574,LINC00574
ADAMTS20,ADAM-TS20
ADAMTS20,ADAMTS-20
ADAMTS20,GON-1
ADAMTS20,ADAMTS20
CCDC15,CCDC15
HEXA-AS1,C15orf34
HEXA-AS1,HEXA-AS1
LCAL1,onco-lncRNA-27
LCAL1,LCAL1
TUBA4B,TUBA4
TUBA4B,TUBA4B
BIN3-IT1,BIN3-IT1
ZNF606,ZNF328
ZNF606,ZNF606
MZT2B,FAM128B
MZT2B,MOZART2B
MZT2B,MZT2B
PKD1L1-AS1,C7orf69
PKD1L1-AS1,PKD1L1-AS1
ZFP2,ZNF751
ZFP2,zfp-2
ZFP2,ZFP2
ZNF614,ZNF614
C3orf36,C3orf36
BICC1,BICC
BICC1,CYSRD
BICC1,BICC1
BAIAP2L2,BAIAP2L2
ARL14,ARF7
ARL14,ARL14
PIF1,C15orf20
PIF1,PIF
PIF1,PIF1
MAP3K19,RCK
MAP3K19,YSK4
MAP3K19,MAP3K19
VCPIP1,DUBA3
VCPIP1,VCIP135
VCPIP1,VCPIP1
CCDC33,CT61
CCDC33,HP11097
CCDC33,CCDC33
BBOF1,C14orf45
BBOF1,CCDC176
BBOF1,FBB10
BBOF1,BBOF1
TRIM46,GENEY
TRIM46,TRIFIC
TRIM46,TRIM46
CCDC170,C6orf97
CCDC170,bA282P11.1
CCDC170,CCDC170
LRRC8E,LRRC8E
MROH9,ARMC11
MROH9,C1orf129
MROH9,MROH9
RPF1,BXDC5
RPF1,RPF1
ZNF703,NLZ1
ZNF703,ZEPPO1
ZNF703,ZNF503L
ZNF703,ZPO1
ZNF703,ZNF703
PTGES2,C9orf15
PTGES2,GBF-1
PTGES2,GBF1
PTGES2,PGES2
PTGES2,mPGES-2
PTGES2,PTGES2
SIKE1,SIKE
SIKE1,SIKE1
FRAS1,FRASRS1
FRAS1,FRAS1
THOC7,NIF3L1BP1
THOC7,fSAP24
THOC7,hTREX30
THOC7,THOC7
UXS1,SDR6E1
UXS1,UGD
UXS1,UXS1
SLC66A2,PQLC1
SLC66A2,SLC66A2
ZC3H12A,MCPIP
ZC3H12A,MCPIP-1
ZC3H12A,MCPIP1
ZC3H12A,Reg1
ZC3H12A,dJ423B22.1
ZC3H12A,ZC3H12A
ASRGL1,ALP
ASRGL1,ALP1
ASRGL1,CRASH
ASRGL1,ASRGL1
CENPT,C16orf56
CENPT,CENP-T
CENPT,SSMGA
CENPT,CENPT
EDC3,LSM16
EDC3,MRT50
EDC3,YJDC
EDC3,YJEFN2
EDC3,hYjeF_N2-15q23
EDC3,EDC3
GOLGA2P10,GOLGA2P10
"NAA15",Ga19
"NAA15",MRD50
"NAA15","NARG1"
"NAA15","NAT1P"
"NAA15","NATH"
"NAA15",TBDN
"NAA15",TBDN100
"NAA15","NAA15"
CWH43,CWH43-C
CWH43,PGAP2IP
CWH43,CWH43
ASMTL-AS1,ASMTL-AS
ASMTL-AS1,ASMTLAS
ASMTL-AS1,CXYorf2
ASMTL-AS1,NCRNA00105
ASMTL-AS1,ASMTL-AS1
PGGHG,ATHL1
PGGHG,PGGHG
PRR36,PRR36
ABHD18,C4orf29
ABHD18,ABHD18
MOGAT2,DGAT2L5
MOGAT2,DGAT2L5.
MOGAT2,MGAT2
MOGAT2,hDC5
MOGAT2,MOGAT2
CTC1,AAF-132
CTC1,AAF132
CTC1,C17orf68
CTC1,CRMCC
CTC1,tmp494178
CTC1,CTC1
IFT74,BBS22
IFT74,CCDC2
IFT74,CMG-1
IFT74,CMG1
IFT74,IFT74
DBF4B,ASKL1
DBF4B,CHIFB
DBF4B,DRF1
DBF4B,ZDBF1B
DBF4B,DBF4B
SPSB1,SSB-1
SPSB1,SSB1
SPSB1,SPSB1
MYCT1,MTLC
MYCT1,MYCT1
TEDC2,C16orf59
TEDC2,TEDC2
MYO19,MYOHD1
MYO19,MYO19
RUBCNL,C13orf18
RUBCNL,KIAA0226L
RUBCNL,PACER
RUBCNL,RUBCNL
CEP290,3H11Ag
CEP290,BBS14
CEP290,CT87
CEP290,JBTS5
CEP290,LCA10
CEP290,MKS4
CEP290,NPHP6
CEP290,POC3
CEP290,SLSN6
CEP290,rd16
CEP290,CEP290
TTI2,C8orf41
TTI2,MRT39
TTI2,TTI2
TMEM134,TMEM134
TMEM254,C10orf57
TMEM254,bA369J21.6
TMEM254,TMEM254
RNF34,CARP-1
RNF34,CARP1
RNF34,RFI
RNF34,RIF
RNF34,RIFF
RNF34,hRFI
RNF34,RNF34
MUS81,SLX3
MUS81,MUS81
FUZ,CPLANE3
FUZ,FY
FUZ,NTD
FUZ,FUZ
HKDC1,HKDC1
FBXO11,FBX11
FBXO11,IDDFBA
FBXO11,PRMT9
FBXO11,UBR6
FBXO11,UG063H01
FBXO11,VIT1
FBXO11,FBXO11
CHD9,AD013
CHD9,CHD-9
CHD9,CReMM
CHD9,KISH2
CHD9,PRIC320
CHD9,CHD9
FHOD3,CMH28
FHOD3,FHOS2
FHOD3,Formactin2
FHOD3,FHOD3
OPA3,MGA3
OPA3,OPA3
SPG11,ALS5
SPG11,CMT2X
SPG11,KIAA1840
SPG11,SPG11
PROSER1,C13orf23
PROSER1,PROSER1
ARMC9,ARM
ARMC9,JBTS30
ARMC9,KU-MEL-1
ARMC9,NS21
ARMC9,ARMC9
CCDC92,CCDC92
TM2D3,BLP2
TM2D3,TM2D3
RUNX1-IT1,C21orf96
RUNX1-IT1,RUNX1-IT1
ALPK1,8430410J10Rik
ALPK1,LAK
ALPK1,ROSAH
ALPK1,ALPK1
CFAP43,C10orf79
CFAP43,HYDNP1
CFAP43,SPGF19
CFAP43,WDR96
CFAP43,bA373N18.2
CFAP43,CFAP43
"NAA50",MAK3
"NAA50","NAT13"
"NAA50","NAT13P"
"NAA50","NAT5"
"NAA50","NAT5P"
"NAA50",SAN
"NAA50",hNaa50p
"NAA50","NAA50"
COQ10B,COQ10B
ACSF2,ACSMW
ACSF2,AVYV493
ACSF2,ACSF2
TARS2,COXPD21
TARS2,TARSL1
TARS2,thrRS
TARS2,TARS2
RAB11FIP1,NOEL1A
RAB11FIP1,RCP
RAB11FIP1,rab11-FIP1
RAB11FIP1,RAB11FIP1
NUBPL,C14orf127
NUBPL,IND1
NUBPL,MC1DN21
NUBPL,huInd1
NUBPL,NUBPL
PAAF1,PAAF
PAAF1,Rpn14
PAAF1,WDR71
PAAF1,PAAF1
ORAI2,C7orf19
ORAI2,CBCIP2
ORAI2,MEM142B
ORAI2,TMEM142B
ORAI2,ORAI2
RUFY1,RABIP4
RUFY1,ZFYVE12
RUFY1,RUFY1
TASL,CXorf21
TASL,TASL
WDR26,CDW2
WDR26,GID7
WDR26,MIP2
WDR26,SKDEAS
WDR26,WDR26
FAAP100,C17orf70
FAAP100,FAAP100
PIGZ,GPI-MT-IV
PIGZ,PIG-Z
PIGZ,SMP3
PIGZ,PIGZ
ELL3,ELL3
PREX2,DEP.2
PREX2,DEPDC2
PREX2,P-REX2
PREX2,PPP1R129
PREX2,PREX2
CEP63,SCKL6
CEP63,CEP63
SLC35F5,SLC35F5
FAM214B,KIAA1539
FAM214B,FAM214B
EFHC2,MRX74
EFHC2,dJ1158H2.1
EFHC2,EFHC2
PHAF1,C16orf6
PHAF1,C16orf70
PHAF1,LIN10
PHAF1,lin-10
PHAF1,PHAF1
TRIM45,RNF99
TRIM45,TRIM45
ZNF430,ZNF430
EDEM3,C1orf22
EDEM3,CDG2V
EDEM3,EDEM3
HSD3B7,CBAS1
HSD3B7,PFIC4
HSD3B7,SDR11E3
HSD3B7,HSD3B7
ITPKC,IP3-3KC
ITPKC,IP3KC
ITPKC,ITPKC
GRPEL1,GrpE
GRPEL1,HMGE
GRPEL1,mt-GrpE#1
GRPEL1,GRPEL1
SCUBE1,SCUBE1
CDK5RAP3,C53
CDK5RAP3,HSF-27
CDK5RAP3,IC53
CDK5RAP3,LZAP
CDK5RAP3,MST016
CDK5RAP3,OK/SW-cl.114
CDK5RAP3,PP1553
CDK5RAP3,CDK5RAP3
MTERF2,MTERFD3
MTERF2,mTERFL
MTERF2,MTERF2
PLEKHO2,PLEKHQ1
PLEKHO2,PP1628
PLEKHO2,pp9099
PLEKHO2,PLEKHO2
EFHD1,MST133
EFHD1,MSTP133
EFHD1,PP3051
EFHD1,SWS2
EFHD1,EFHD1
WDCP,C2orf44
WDCP,MMAP
WDCP,PP384
WDCP,WDCP
TRABD,LP6054
TRABD,PP2447
TRABD,TRABD
MED28,1500003D12Rik
MED28,EG1
MED28,magicin
MED28,MED28
FER1L4,C20orf124
FER1L4,FER1L4
FLAD1,FAD1
FLAD1,FADS
FLAD1,LSMFLAD
FLAD1,PP591
FLAD1,FLAD1
SPHKAP,SKIP
SPHKAP,SPHKAP
PDGFD,IEGF
PDGFD,MSTP036
PDGFD,SCDGF-B
PDGFD,SCDGFB
PDGFD,PDGFD
KLHL15,HEL-S-305
KLHL15,XLID103
KLHL15,KLHL15
TET1,CXXC6
TET1,LCX
TET1,bA119F7.1
TET1,TET1
LRRC27,LRRC27
EPC1,Epl1
EPC1,EPC1
CPEB4,CPE-BP4
CPEB4,hCPEB-4
CPEB4,CPEB4
PPP1R2C,I-4
PPP1R2C,PPP1R2P9
PPP1R2C,PPP1R2C
ZKSCAN3,ZF47
ZKSCAN3,ZFP306
ZKSCAN3,ZNF306
ZKSCAN3,ZNF309
ZKSCAN3,ZSCAN13
ZKSCAN3,ZSCAN35
ZKSCAN3,Zfp47
ZKSCAN3,dJ874C20.1
ZKSCAN3,dJ874C20.1.
ZKSCAN3,zfp-47
ZKSCAN3,ZKSCAN3
GKAP1,FKSG21
GKAP1,GKAP42
GKAP1,GKAP1
CXXC4,IDAX
CXXC4,CXXC4
SP6,EPFN
SP6,EPIPROFIN
SP6,KLF14
SP6,SP6
CEP70,BITE
CEP70,CEP70
CCDC68,SE57-1
CCDC68,CCDC68
PUS1,MLASA1
PUS1,PUS1
ABTB1,BPOZ
ABTB1,BTB3
ABTB1,BTBD21
ABTB1,EF1ABP
ABTB1,PP2259
ABTB1,ABTB1
WNT10A,OODD
WNT10A,SSPS
WNT10A,STHAG4
WNT10A,WNT10A
MAPRE1P1,MAPRE1P
MAPRE1P1,MAPRE1P1
ULBP2,ALCAN-alpha
ULBP2,N2DL2
ULBP2,NKG2DL2
ULBP2,RAET1H
ULBP2,RAET1L
ULBP2,ULBP2
ULBP1,N2DL-1
ULBP1,NKG2DL1
ULBP1,RAET1I
ULBP1,ULBP1
DNAJC5,CLN4
DNAJC5,CLN4B
DNAJC5,CSP
DNAJC5,DNAJC5A
DNAJC5,NCL
DNAJC5,mir-941-2
DNAJC5,mir-941-3
DNAJC5,mir-941-4
DNAJC5,mir-941-5
DNAJC5,DNAJC5
ADAM33,C20orf153
ADAM33,DJ964F7.1
ADAM33,ADAM33
KCNIP4,CALP
KCNIP4,KCHIP4
KCNIP4,KCNIP4
WDR82,MST107
WDR82,MSTP107
WDR82,PRO2730
WDR82,PRO34047
WDR82,SWD2
WDR82,TMEM113
WDR82,WDR82A
WDR82,WDR82
PABPC1L,C20orf119
PABPC1L,EPAB
PABPC1L,PABPC1L1
PABPC1L,dJ1069P2.3
PABPC1L,PABPC1L
PNPLA3,ADPN
PNPLA3,C22orf20
PNPLA3,iPLA(2)epsilon
PNPLA3,PNPLA3
BPIFB2,BPIL1
BPIFB2,C20orf184
BPIFB2,LPLUNC2
BPIFB2,RYSR
BPIFB2,dJ726C3.2
BPIFB2,BPIFB2
TRAF3IP3,T3JAM
TRAF3IP3,TRAF3IP3
SEL1L2,C20orf50
SEL1L2,sel-1L2
SEL1L2,SEL1L2
DCAF11,GL014
DCAF11,PRO2389
DCAF11,WDR23
DCAF11,DCAF11
ZSCAN16,ZNF392
ZSCAN16,ZNF435
ZSCAN16,dJ265C24.3
ZSCAN16,ZSCAN16
REEP4,C8orf20
REEP4,PP432
REEP4,Yip2c
REEP4,REEP4
COASY,DPCK
COASY,NBIA6
COASY,NBP
COASY,PCH12
COASY,PPAT
COASY,UKR1
COASY,pOV-2
COASY,COASY
WDR61,REC14
WDR61,SKI8
WDR61,WDR61
LPAL2,APOA2
LPAL2,APOAL
LPAL2,APOARGC
LPAL2,apo(a)rg-C
